NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
15;260;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE VILA AREAL;QS 06 CONJUNTO 430
1;140;WELLINGTON LUIZ DE SOUZA SILVA;5;UNIP - UNIVERSIDADE PAULISTA;SGAS 913 S/N CONJUNTO B
19;86;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCACIONAL N 4;EQNG 06/07 AE 20
21;224;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE 512 DE SAMAMBAIA;QN 512 CONJUNTO 06 AE
9;122;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCACIONAL 3;EQ 17/19 AE A
9;234;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO ESPECIAL 1;QE 20 LT A AREA ESPECIAL
10;290;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO FUNDAMENTAL II;QS 08 AE 02 - RIACHO FUNDO II
15;292;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA LA SALLE;QUADRA 301 AREA ESPECIAL S/N
9;1;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE 1;QI 01/03 LT A/E
21;124;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCACIONAL 308 DO RECANTO DAS EMAS;QD 308 AE 1 CONJUNTO 12
2;143;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO FUNDAMENTAL 03 DO PARANOA;QUADRA 26 CONJ G AREA ESPECIAL
15;448;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA ATUAL;QUADRA 204, LOTE 01
18;415;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA FRANCESA FRANOIS MITTERRAND;SHIS QI 21 BLOCO D
11;106;WELLINGTON LUIZ DE SOUZA SILVA;5;CANDANGUINHO - PUERI (ATUAL MAPLE BEAR );EQSW 303/304, SETOR SUDOESTE
14;66;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE 312 NORTE;SQN 312
9;35;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCACIONAL 4;QE 09 AE D
5;286;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE 10;QUADRA 02 CONJUNTO B/C LOTE E
10;279;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCATIVO PASSIONISTA A DA SANTA C;QN 05 AE 02 - RIACHO FUNDO I
19;113;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO FUNDAMENTAL N 12;QNG 39 AREA ESPECIAL 03
6;77;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO FUNDAMENTAL 02;AV. SAO PAULO QD 52 LOTE B
10;301;WELLINGTON LUIZ DE SOUZA SILVA;5;COLEGIO ISAAC NEWTON;QN 07 AREA ESPECIAL 11 RIACHO FUNDO I
5;108;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO EDUCACIONAL 02;QUADRA 12 AREA ESPECIAL 5
19;313;WELLINGTON LUIZ DE SOUZA SILVA;5;COLEGIO KAIROS (ANTIGO INSTITUTO EDUCACIONAL SAGARANA;COLONIA AGRICOLA VICENTE PIRES RUA 06 CH 255 LT 2/4
11;82;WELLINGTON LUIZ DE SOUZA SILVA;5;ESCOLA CLASSE 08;AOS 06/08,  AREA ESPECIAL, OCTOGONAL
2;260;WELLINGTON LUIZ DE SOUZA SILVA;5;CENTRO DE ENSINO FUNDAMENTAL 03 DO PARANOA;QUADRA 26 CONJ G AREA ESPECIAL
16;292;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 65;QNR 02 - AREA ESPECIAL 04
15;478;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF N 09;QSD AE 02 SETOR D
18;140;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 104;QUADRA 104 CJ. 01 LOTE 01 BAIRRO RESIDENCIAL OESTE SAO SEBASTIAO
9;320;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO PROJECAO;QE 20 AREA ESPECIAL E
8;877;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 15;EQNN 08/10                                                
19;173;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF N 11;CND 05 AREA ESPECIAL - PRACA DO BICALHO
15;115;WELLINGTON LUIZ DE SOUZA SILVA;4;CEMAB - CENTRO DE ENSINO MEDIO AVE BRANCA;QSA 03/05 AREA ESPECIAL
21;231;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 804 DO RECANTO DAS EMAS;QD 804 AREA ESPECIAL 01
8;713;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 39;EQNP 15/11 - SETOR P NORTE                         
19;56;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO JESUS MARIA JOSE;QNG 40 AREA ESPECIAL 5/6
20;84;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 33 (ANTIGA E.C. 44);QNP 12 A.E.
5;270;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 14;AR 19 CONJUNTO 07 LOTE 01
17;5;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO INTERESCOLAR DE LINGUAS - CIL;E Q 16/18  A E  SETOR CENTRAL TEL 484 8226
20;126;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 46;EQNP 16/20
13;47;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE EDUCACAO INFANTIL 210;QN 210 AE - SAMAMBAIA NORTE
19;180;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF N 11;CND 05 AREA ESPECIAL - PRACA DO BICALHO
16;175;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 09;EQNO 03/05 SETOR O
3;550;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL N 07;EQNM 36/38 AREA ESPECIAL
4;575;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO GESNER TEIXEIRA;RUA DAS ADALIAS LOTES 2/6 - DVO - CIDADE NOVA
18;409;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA FRANCESA FRANOIS MITTERRAND;SHIS QI 21 BLOCO D
19;334;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO LICEU;RUA 06 CH 253 LT. A
10;247;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 1 DO RIACHO FUNDO II;QC 4 CONJ 18 LOTE 2
8;957;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 04;EQNM 21/23
14;216;WELLINGTON LUIZ DE SOUZA SILVA;4;UNICEUB;SEPN 707/907
17;331;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
13;435;WELLINGTON LUIZ DE SOUZA SILVA;4;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
8;278;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO 20;EQNM 08/10                                            
13;538;WELLINGTON LUIZ DE SOUZA SILVA;4;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
11;238;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CANADENSE DE BRASILIA ( ANTIGA MAPLE BEAR );SIG QUADRA 08, LOTE 2225, PARTE F, SIG
18;136;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 104;QUADRA 104 CJ. 01 LOTE 01 BAIRRO RESIDENCIAL OESTE SAO SEBASTIAO
16;242;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 34 (ANTIGA EC 60);QNO 19 CONJUNTO B LOTE 01 - EXPANSAO DO SETOR O
5;52;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL 03;QUADRA 5 AREA ESPECIAL 5
13;512;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 427;QN 427 AE 2
5;389;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 11;QUADRA 11 AREA ESPECIAL
9;200;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 6;EQ 24/26 AE A
13;409;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 303;QR 303 CONJUNTO 12
9;361;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO OBJETIVO DO GUARA;QE 38 AREA ESPECIAL 8 LOTE C
10;255;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
6;321;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 03;Q.1/2 PROJECAO G-SRL
9;327;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 02 - VILA ESTRUTURAL;QD 03 CJ A AE 06 - VILA ESTRUTURAL
10;33;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 1;AV CONTORNO AE 07 -NCLEO BANDEIRANTE 
6;117;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 02;SETOR EDUCACIONAL LOTES J/L
15;431;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL SIGMA;RUA 14 SUL, LOTE 06
19;119;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL N 12;QNG 39 AREA ESPECIAL 03
13;451;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 419;QS 419 AE 01
13;215;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 431;QS 431 AE 01
20;192;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 14;EQNP 28/32
3;296;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO N 5;QNJ 56 AREA ESPECIAL N. 16
13;107;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 431;QS 431 AE 01
10;187;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 1 CANDANGOLANDIA;EQ 05/07, AREA ESPECIAL -CANDANGOLANDIA 
16;473;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL- INCRA 08;ZR - DF 070, DF 180 - ALEXANDRE GUSMAO
19;9;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE N 27;ECNF 01/QNF 19     AE
17;148;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF 11;QUADRA 1 A.E. S.SUL
16;109;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 62;QNQ 01 - AREA ESPECIAL
8;972;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 35;EQNP 13/09 - SETOR P NORTE
2;265;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 01 DO LAGO NORTE;SHIN QI 04/06 AE LAGO NORTE
9;286;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO ROGACIONISTA;AREA ESPECIAL 08 MODULO B
1;136;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA PARQUE 313/314 SUL;EQS 313/314 AREA ESPECIAL
6;233;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE RAJADINHA;DF 006 NCLEO RURAL RAJADINHA
6;221;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 14;QD 13 CONJ A LT 01 BURITIS III
9;170;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 5;EQ 32/34 LT B - AE
10;300;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO URSO BRANCO;3  AVENIDA AREA ESPECIAL 04 - NCLEO BANDEIRANTE 
15;100;WELLINGTON LUIZ DE SOUZA SILVA;4;CEMAB - CENTRO DE ENSINO MEDIO AVE BRANCA;QSA 03/05 AREA ESPECIAL
10;68;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 02 DA CANDANGOLANDIA;EQ 02/03  AE - CANDANGOLANDIA
11;70;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 06;SHCES Q 807,  AREA ESPECIAL, CRUZEIRO NOVO
15;242;WELLINGTON LUIZ DE SOUZA SILVA;4;CILT - CENTRO INTERESCOLAR DE LINGUAS DE TAGUATINGA;QSB 02/03 AREA ESPECIAL N 03/04
17;139;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF 11;QUADRA 1 A.E. S.SUL
15;278;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF N 09;QSD AE 02 SETOR D
13;383;WELLINGTON LUIZ DE SOUZA SILVA;4;CAIC AYRTON SENNA;QR 117 SETOR URBANO
15;379;WELLINGTON LUIZ DE SOUZA SILVA;4;UNIPLAN -CENTRO UNIVERSITARIO PLANALTO DO DISTRITO FEDERAL;AVENIDA PAU BRASIL, LOTE 2 - AGUAS CLARAS - DISTRITO FEDERAL
17;37;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 01 DO GAMA;EQ 1/2 A.E. SETOR NORTE
15;247;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE ARNIQUEIRA;SMPW 04 CJ 04 LT 05 - COL. AGR. ARNIQUEIRA
10;317;WELLINGTON LUIZ DE SOUZA SILVA;4;INSTITUTO FEDERAL DE BRASILIA - CAMPUS RIACHO FUNDO;AVENIDA CEDRO, AE 15, QS 16, FAZENDA SUCUPIRA- RIACHO FUNDO I
16;194;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 61;QNQ 4 LOTE A SETOR Q
9;289;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO ELITE (ANTIGO JK);QE 08 AREA ESPECIAL 1
16;213;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 30;AREA ESPECIAL FRENTE MODULO 07 -  CONDOMINIO PRIVE
9;11;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 2;QE 2 AE A
4;589;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 201 DE SANTA MARIA;CL 201 LOTE 1 A
11;99;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE SMU;QRO, AREA ESPECIAL, SETOR MILITAR URBANO
8;873;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 15;EQNN 08/10                                                
3;337;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE N 50;EQNL 02/04 AREA ESPECIAL
16;152;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 31;EQNO 09/11 - SETOR O
19;297;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO VITORIA REGIA - UNIDADE 1;RUA 6 CHACARA 274 VICENTE PIRES
5;223;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 10;QUADRA 02 CONJUNTO B/C LOTE E
15;487;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO OLIMPO LTDA;RUA 7 SUL, LOTE 04
19;335;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO VITORIA REGIA (ANTIGO COLEGIO MAXIMUS);RUA 06 CH. 276
8;882;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 21;EQNN  04/06                                         
20;44;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 24;EQNN 20/22 AE B
17;177;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF 08;Q 02 AREA ESPECIAL SETOR SUL
16;338;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO  EDUCACIONAL 02;PRACA DO LACO - SETOR NORTE
3;435;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 17;EQNM 38/40 LOTE A
16;327;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 55;EQNO 19/20 - CONJUNTO C -  AREA ESPECIAL - EXPANSAO SETOR O
14;376;WELLINGTON LUIZ DE SOUZA SILVA;4;CEAN - CENTRO DE ENSINO MEDIO ASA NORTE;SGAN 606 MODULO G/H
5;204;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 08;AR 03 LOTE 04 AREA ESP. ST OESTE
13;4;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 404;QS 404 AREA ESPECIAL 01
16;127;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 34;EQNP 17/13 - SETOR P NORTE
15;483;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL CATOLICA DE BRASILIA;QS 07 LOTE 1 EPCT - TAGUATINGA SUL
5;32;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 15;QUADRA 3 AREA ESPECIAL 1/2
15;233;WELLINGTON LUIZ DE SOUZA SILVA;4;CILT - CENTRO INTERESCOLAR DE LINGUAS DE TAGUATINGA;QSB 02/03 AREA ESPECIAL N 03/04
10;265;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 1 DO RIACHO FUNDO II;QC 4 CONJ 18 LOTE 2
13;357;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 414;QS 414 AE 01
13;397;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL 123;QR 123 AE SETOR SUL - SAMAMBAIA SUL
3;549;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE N 45;EQNM 40/42  AREA ESPECIAL S/N
13;560;WELLINGTON LUIZ DE SOUZA SILVA;4;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
19;181;WELLINGTON LUIZ DE SOUZA SILVA;4;CEF N 11;CND 05 AREA ESPECIAL - PRACA DO BICALHO
4;294;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 308 DE SANTA MARIA;CL 308 LOTE 1-B
13;426;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 318;QN 318 CONJUNTO 04 LOTE 01
10;147;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA SALESIANA SAO DOMINGOS SAVIO;3 AVENIDA AE 5 LOTE A/F- NCLEO BANDEIRANTE 
10;81;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
3;432;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 17;EQNM 38/40 LOTE A
14;254;WELLINGTON LUIZ DE SOUZA SILVA;4;IESB - INSTITUTO DE EDUCACAO SUPERIOR DE BRASILIA;SGAN 609 MODULO D
10;192;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE EDUCACAO INFANTIL 01 - RF I;QN 07, AE 10, RIACHO FUNDO I
17;278;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 21 DO GAMA;E Q 44/45 A.E S.LESTE                  
13;326;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 604;QS 604 AE
15;347;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO MARISTA - AGUAS CLARAS;RUA TAMBORIL LOTE 1
11;239;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 05;SHCES Q 201/203, AREA ESPECIAL, CRUZEIRO NOVO
4;471;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE  215 DE SANTA MARIA;CL 215 LOTE A
13;596;WELLINGTON LUIZ DE SOUZA SILVA;4;CAIC HELENA REIS;QR 409 AE 01
15;537;WELLINGTON LUIZ DE SOUZA SILVA;4;UNIPLAN -CENTRO UNIVERSITARIO PLANALTO DO DISTRITO FEDERAL;AVENIDA PAU BRASIL, LOTE 2 - AGUAS CLARAS - DISTRITO FEDERAL
20;116;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 43;EQNP 14/18
13;333;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 120;QN 120/122 CONJUNTO 04 LOTE 01
16;156;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 31;EQNO 09/11 - SETOR O
8;361;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 28;EQNN 17/19                                               
14;214;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 304 NORTE;SQN 304
13;87;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 407;QR 407/409 AE 01
5;28;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 15;QUADRA 3 AREA ESPECIAL 1/2
13;269;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 431;QS 431 AE 01
20;80;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 33 (ANTIGA E.C. 44);QNP 12 A.E.
13;583;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE EDUCACAO INFANTIL 307;QR 307 CONJUNTO 08 AE 01
17;225;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL CASA GRANDE;N RURAL CASA GRANDE CH 16 SETOR DE CHACARAS NORTE
19;341;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO IDEAL;QNG 09/11, LT 01/02
13;511;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 614;QR 614 AREA ESPECIAL 01
3;596;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO N 5;QNJ 56 AREA ESPECIAL N. 16
11;202;WELLINGTON LUIZ DE SOUZA SILVA;4;COLEGIO CIMAN;SH/AOS ENTRE AREAS 01/04, LOTE 08, OCTOGONAL
11;37;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 05;SHCES Q 201/203, AREA ESPECIAL, CRUZEIRO NOVO
6;397;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 02 DO ARAPOANGA;EM FRENTE A QUADRA 21, CONJ F  AREA ESPECIAL-ARAPOANGA
9;91;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO ENSINO MEDIO 01  DO GUARA - CEM (GG);QE 07 AE M
16;241;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 34 (ANTIGA EC 60);QNO 19 CONJUNTO B LOTE 01 - EXPANSAO DO SETOR O
21;159;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 510 DE SAMAMBAIA;QN 510 CONJUNTO 07 LOTE 1 AE
1;199;WELLINGTON LUIZ DE SOUZA SILVA;4;CEJA ASA SUL C.E.S.A.S.;SGAS 602 PROJ D
17;89;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 02;EQ 02/04 AREA ESPECIAL SETOR OESTE
5;396;WELLINGTON LUIZ DE SOUZA SILVA;4;INSTITUTO EDUCACIONAL SANTO ELIAS;QUADRA 11 AREA RESERVADA 3
20;45;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 24;EQNN 20/22 AE B
5;355;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 10;QUADRA 02 CONJUNTO B/C LOTE E
3;389;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE N 46;EQNL 21/23 AREA ESPECIAL 01
5;98;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL 02;QUADRA 12 AREA ESPECIAL 5
15;253;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA LA SALLE;QUADRA 301 AREA ESPECIAL S/N
21;353;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 510 DO RECANTO DAS EMAS / CENTRO DE ENSINO FUNDAMENT 511;QUADRA 511, CONJUNTO 11, EPC 2
9;293;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 08 (ANTIGO CEF 07);EQ 28/30 AE A
10;155;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL INFANTIL DA CANDANGOLANDIA;QR 1-A, PRACA DO BOSQUE
15;230;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA TECNICA DE BRASILIA;QS 07 LOTE 02/08 - AVENIDA AGUAS CLARAS - VILA AREAL
8;816;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA NORMAL DE CEILANDIA;EQNM 17/19
6;395;WELLINGTON LUIZ DE SOUZA SILVA;4;ESCOLA CLASSE 14;QD 13 CONJ A LT 01 BURITIS III
9;28;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 1;QE 4 AE J
21;302;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 301 DO RECANTO DAS EMAS;QD 301 AE
18;271;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL SAO FRANCISCO - CHICAO;QUADRA 17, LOTE 100, AREA ESPECIAL
20;74;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 18;QNP 10 A.E.
4;368;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 213 DE SANTA MARIA;CL 213 LOTE 01 - G
18;362;WELLINGTON LUIZ DE SOUZA SILVA;4;CIEIC - CENTRO INTEGRADO IRMAOS CARVALHO;SH ESTRADA DO SOL COND. MANSOES SERRANA KM 5 CHACARA IRMAOS CARVALHO
4;289;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 308 DE SANTA MARIA;CL 308 LOTE 1-B
21;126;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 111 DO RECANTO DAS EMAS;QD 111 AE 1
10;111;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL 01 DO RIACHO FUNDO II;QN 07 LOTE D AREA ESPECIAL 1/2 - RIACHO FUNDO II
10;298;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCATIVO PASSIONISTA A DA SANTA C;QN 05 AE 02 - RIACHO FUNDO I
20;15;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO MEDIO 04;QNN 14  A.E.
2;311;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO EDUCACIONAL DO LAGO NORTE;SHIN CA 02 LOTE 24 LAGO NORTE
10;239;WELLINGTON LUIZ DE SOUZA SILVA;4;CENTRO DE ENSINO FUNDAMENTAL II;QS 08 AE 02 - RIACHO FUNDO II
1;578;WELLINGTON LUIZ DE SOUZA SILVA;4;CEM SETOR LESTE;SGAS 611/612 CONJUNTO E
