NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
17;335;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
13;464;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO FUNDAMENTAL 619;QS 619 AE 01
6;283;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
17;385;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO FUNDAMENTAL 03 DO GAMA;E Q 6/11 A. E.S.LESTE
20;209;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO FUNDAMENTAL 32 (ANTIGA E.C. 67);SHPS - EQ. 500/700 A.E - COND. POR DO SOL
8;319;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO 20;EQNM 08/10                                            
17;332;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
18;239;WELLINGTON LUIZ DE SOUZA SILVA;9;ESG ESCOLA SUPERIOR DE GUERRA;SHJB 3, AV. DAS PAINEIRAS, QD 07, LT E/F, BL E - JARDIM BOTANICO - DF
16;295;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 38;EQNP 15/19 - AREA ESPECIAL - SETOR P NORTE
17;337;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
16;278;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 66;AV.CORREGO DAS CORUJAS S/N - SETOR HABITACIONAL SOL NASCENTE TRECHO 3
17;116;WELLINGTON LUIZ DE SOUZA SILVA;9;CEM 03;EQ 5/11 A.E. SETOR SUL
13;374;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 604;QS 604 AE
13;20;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 403;QN 403/405  AREA ESPECIAL
13;427;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO EDUCACIONAL 123;QR 123 AE SETOR SUL - SAMAMBAIA SUL
9;313;WELLINGTON LUIZ DE SOUZA SILVA;9;FACULDADE PROJECAO- PERTO TERMINAL RODOVIARIO GUARA II;AREA ESPECIAL 10 LOTE C
9;260;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO FUNDAMENTAL 10;QE 46 AE 05
13;467;WELLINGTON LUIZ DE SOUZA SILVA;9;CCI SENIOR;QN 401 CONJUNTO D LOTES 01/02
21;350;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 511 DE SAMAMBAIA;QR 511 AREA ESPECIAL 02 SAMAMBAIA-DF
13;500;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE 419;QS 419 AE 01
6;291;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
6;346;WELLINGTON LUIZ DE SOUZA SILVA;9;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
10;159;WELLINGTON LUIZ DE SOUZA SILVA;9;CENTRO DE ENSINO TELEBRASILIA;QN 01 LOTE 01/02 - RIACHO FUNDO I 
13;165;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 312;QS 312  CONJUNTO 05 LOTE 01
13;201;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 404;QS 404 AREA ESPECIAL 01
13;23;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 403;QN 403/405  AREA ESPECIAL
6;383;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 15;ESTANCIA NOVA PLANALTINA QUADRA 01 AREA ESPECIAL
18;46;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL CERAMICA SAO PAULO;RUA 01, LT 101, SETOR TRADICIONAL
13;465;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 427;QN 427 AE 2
9;150;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 08 (ANTIGO CEF 07);EQ 28/30 AE A
16;304;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 65;QNR 02 - AREA ESPECIAL 04
13;499;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 427;QN 427 AE 2
16;290;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE ENSINO FUNDAMENTAL 34 (ANTIGA EC 60);QNO 19 CONJUNTO B LOTE 01 - EXPANSAO DO SETOR O
13;369;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 123;QR 123 AE SETOR SUL - SAMAMBAIA SUL
18;313;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA DAS NACOES;SHIS QI 21 AREA ESPECIAL CONJUNTO 01
17;203;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL 07;EQ 15/17 - PRACA  01 LOTE 03
10;302;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO DE EDUCACAO INFANTIL DO RIACHO FUNDO II;QN 14A CONJ 07 AE 1/2
15;443;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL SIGMA;RUA 14 SUL, LOTE 06
15;595;WELLINGTON LUIZ DE SOUZA SILVA;8;FACULDADE PROCESSUS - CAMPUS II;AVENIDA ARAUCARIAS N. 4400
16;519;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE DO SETOR P NORTE;RUA DA CASCALHEIRA S/N - VC 311
6;390;WELLINGTON LUIZ DE SOUZA SILVA;8;CENTRO EDUCACIONAL POMPILIO MARQUES DE SOUZA;COND. MESTRE DARMAS MOD 1 LOTE 13
6;254;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE ESTANCIA;DF 14 LT 63/67 COND. ESTANCIA PLANALTINA
13;592;WELLINGTON LUIZ DE SOUZA SILVA;8;ESCOLA CLASSE 403;QN 403/405  AREA ESPECIAL
